https://api-na-adrv2.padsv.gungho.jp/api.php?action=clear_dungeon;pid;sid;hash;tmd;nxc;;dung;floor;v;c;r;m;key;e_key;e_chksum;ss;;;s;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;sm;cm
56;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2814e6f1;1f6e4182;10;1;2;215;1300;0;A11EDB77;76;D9;207f6e44;10:36:52;0:00:05;349706;36721f5f;d4b0422;67ce7ac6;31fe4836;77b1d9f4;6cb89e78;30b8b6bd;a7118e3c;8eede4e8;615248d1;cac410cc;cbd79abb;17d13878;1a209788;934aff66;ebb47537;9e416248;19c26d1b;9f9e1713;da44a126;0
57;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;cb6bccbb;bbccb6bc;10;1;2;215;1300;0;AB8DD333;6B;D1;207f6e49;10:36:57;0:00:05;349706;7f52ec88;8fbfaa42;1f59e74;3a0959db;c793858a;32f08778;f39a63b5;809b6b83;80c48249;232aae74;4924d20a;99a895a4;82f130e8;c9add2e5;3e15877a;b5d42d1d;2e75139e;51a3fce2;cefffc50;da44a123;0
58;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;40d70f47;74f07d04;10;1;2;215;1300;0;2D259E44;6C;42;207f6e4e;10:37:02;0:00:05;349706;c831b9f5;1234506d;9c1bc1a9;42132a8c;17753118;f9287078;b67c10aa;5a2548ca;729a1fa9;e5028598;c7839348;677994b1;ee112958;793b0e41;e8e00f8e;7ff3e504;bea9c4f4;887c4cad;fe5fe18d;da44a138;0
59;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;47c7b6d4;4d6b7c74;10;1;2;215;1300;0;F8838E00;A9;53;207f6e53;10:37:07;0:00:05;349706;11118726;94a9f68d;3642e4df;4a1e3a36;6758deaf;bf605978;795ebda3;33af2610;6470bd0a;a6dafb03;45e35486;354a97b9;593221c8;28c9499e;93ab97a3;4a139cea;4edd764a;c05ddc74;2dc0c6ca;da44a135;0
60;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b475fa9c;c9af574b;10;1;2;215;1300;0;5ABAC066;BD;49;207f6e58;10:37:12;0:00:05;349706;59f05413;171d9cac;d068080d;52290bdb;b73a8a3d;85984278;3c416a98;d3a0357;56475a6b;68b2dea7;c44215c4;31c9644;c4521a38;d85684fa;3e761fb7;143254d0;df1227a0;f83fac3e;5d21ac07;da44a132;0
61;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aff07e19;91e70ffa;10;1;2;215;1300;0;F12BC411;E1;45;207f6e5e;10:37:18;0:00:06;349706;e496e422;1a1030d5;5630ff67;f56924ae;171620d6;a6a8f34d;8c83a08e;12464012;abaee412;515197ea;5be8ca74;c6e3624f;de78dde3;11679903;d837f636;d38b97e5;58ea62d4;6e78b047;fc628bea;da44a14f;0
62;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;90afd4e1;1e4dfa09;10;1;2;215;1300;0;E87CCFBB;6D;28;207f6e63;10:37:23;0:00:05;349706;2d76b10f;9c84d6f5;f0562295;fd733450;66f9cc65;6ce0dc4d;4f664d87;ebd01d58;9d858172;13288d0d;da488bb2;94b45d4e;4998d653;c0f5d460;83027e4a;9dab4fcb;e91e142a;a6590001;2bc37127;da44a144;0
63;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2814e6f1;1f6e4182;10;1;2;215;1300;0;4058B244;93;BD;207f6e68;10:37:28;0:00:05;349706;76557e78;1ef97d14;8a7d45ca;57e0505;b6db79fb;3318c54d;1248fa7c;c55bfa9f;8f5b1ed3;d500e0b1;58a74cf0;62855c4d;b4b8cec3;70820fbc;2dcc065e;67ca07b2;7952c580;de3a97c8;5b245664;da44a141;0
64;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5a2b6048;8406b2a5;10;1;2;215;1300;0;B97ABF44;CA;5D;207f6e6d;10:37:33;0:00:05;349706;bf354ba5;a16e2334;24a36978;d8816ae;6bd2589;f950ae4d;d52aa775;9ee5d7e5;8131bc34;96d8c6d4;d7070e2e;30575ea8;1fd9c733;20104b19;d8978e73;31eabf98;98676d7;161b6793;8a853ba1;da44a15e;0
65;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c5b877e3;3e778b5c;10;1;2;215;1300;0;DB659E66;DF;A6;207f6e72;10:37:38;0:00:05;349706;8141896;23e2c954;bec98cae;1593e650;569fd11f;bf87974d;980c546d;786fb52c;73085994;58b03c78;5567cf6c;fe2859a3;8af9bfa3;cf9e8676;83621687;fc09777f;99bb282d;4ef5f75a;b9e520dd;da44a15b;0
66;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;45a0ba33;33ab0a54;10;1;2;215;1300;0;B48FE3AA;59;70;207f6e77;10:37:43;0:00:05;349706;50f4e5c3;a6576f77;58f0afe3;1d9ef705;a6827ead;85bf804d;5aef0162;51f99272;64def6f5;1a8813e3;d3c690aa;cbf958b2;f619b810;7f2bc1d2;2e2d9e9b;c6292f65;29efd983;86d64724;e946061a;da44a150;0
67;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;168b6c09;90c6b861;10;1;2;215;1300;0;16507B00;2C;5C;207f6e7c;10:37:48;0:00:05;349706;99d4b32c;28cc1597;f316d311;25a8c0af;f6642a23;4bf7694d;1dd1ae5b;2b846fb9;56b49455;dc600907;522651e8;99ca5b89;6139b080;2eb9fd2f;d8f826b0;9048e74b;ba238ad9;beb7d6ef;18a7eb57;da44a16d;0
68;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;4e84b698;896b48e4;10;1;2;215;1300;0;326FE399;94;2C;207f6e81;10:37:53;0:00:05;349706;e2b3801e;ab41bbb6;8d3df647;2db3d050;4646d7b6;122f524d;e0b35b50;50e4cff;488b31b6;9e386caa;d0851326;679b5a84;cc59a8f0;de47388b;83c3aec4;5a689f32;4a573c2f;f690a6b6;4808d094;da44a16a;0
69;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;6225b2c1;1c2b5226;10;1;2;215;1300;0;6E9CD0CC;86;3B;207f6e86;10:37:58;0:00:05;349706;2b934d4b;2db561d6;276319f5;35bda105;96298344;d8673b4d;a3950849;de982a46;3a61cf17;601042ce;4ee5d464;356c55b6;3779a160;8dd573e8;2e8e36d8;24885718;da8bed85;2d713671;7769b5d1;da44a167;0
70;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9fcb5487;7845bcf9;10;1;2;215;1300;0;94ABC655;DB;99;207f6e8b;10:38:03;0:00:05;349706;74721ab4;b02a07f1;c18a3d2a;3dc8b2af;e60b28da;9e9f244a;6678b541;b823078d;2c376c77;21ebb871;cd4595a1;33d54a7;a29999d0;3d62af44;d959beed;eea70eff;6abf9edb;65528638;a6ca9b0e;da44a17c;0
71;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c7cff924;429ffc7c;10;1;2;215;1300;0;4365A2EE;3B;47;207f6e90;10:38:08;0:00:05;349706;bd52e7e1;329fae11;5bb06058;45d38250;35edd468;64d70d4a;295a6236;91ade4d3;1e0e09d8;e3c39f95;4ba456df;d10e57a4;db99240;ecf0eaa1;84244701;b8c7c6e5;faf45031;9d2c1582;d62a804b;da44a179;0
72;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aa2426e2;2e6242aa;10;1;2;215;1300;0;8465A2EE;A3;94;207f6e95;10:38:13;0:00:05;349706;631b4d2;b5135430;f5d6838e;4ddd9305;85d081fe;2b0ff64a;ec3c0f2f;6b37c21a;fe4a739;a59bf538;ca04181d;9edf56b1;78d98ab0;9c7e25fe;2eefcf15;82e67ecb;8b280187;d50de54d;58b6588;da44a176;0
73;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;63938a16;61a83936;10;1;2;215;1300;0;2CBEDDCC;B7;96;207f6e9a;10:38:18;0:00:05;349706;4f11823f;3788fa50;8ffda73c;55e89caf;d5b22d8c;f147df4a;af1ebc24;44c19f60;1ba4499;6773eb5c;4863d95b;6cb051ba;e3fa8320;4c0b615a;d9ba572a;4d0636b2;1b5cb2dd;dee7514;34ec4ac5;da44a173;0
74;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;68190799;99709186;10;1;2;215;1300;0;5709BA99;E7;A4;207f6e9f;10:38:23;0:00:05;349706;97f04f68;b9fda073;2a23ca71;5df36c50;2594d902;b77fc84a;7200691c;1e4c7ca7;f390e1fa;294bcec7;c6c39a99;3a81503b;4f1a7b91;fb999cb7;8485df3e;1725ee98;ab906433;45cfc4df;644d3002;da44a188;0
75;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+81b186d;d681b18+;10;1;2;215;1300;0;6C1CCB00;12;63;207f6ea4;10:38:28;0:00:05;349706;e0d01c55;3c714693;c44aeda7;65fd7d05;75768691;7db7b14a;34e31615;f7d659ed;e5677f5a;eb23246b;45235bd7;8535330;ba3a7401;ab27d813;2f506752;e145a67f;3bc41589;7da854a6;93ae153f;da44a185;0
76;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d5bda075;570adb5d;10;1;2;215;1300;0;CAA7AC77;D9;6E;207f6ea9;10:38:33;0:00:05;349706;29afe986;bee6ecb2;5e7010d5;6e084eaf;c5593227;43ef9a4a;f7c5c30a;d1603734;d73d1cbb;acfb1b8e;c3821d15;d624523d;255a6c71;5ab41370;da1bef66;ab645e65;cbf8c6df;b5892460;c30ffa7b;da44a182;0
77;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;fda24612;21642adf;10;1;2;215;1300;0;9598B6EE;3F;0C;207f6eae;10:38:38;0:00:05;349706;728fb6f3;415b92d2;f896340a;76125e50;153bdfb5;a27834a;baa77003;aaeb147a;c913ba1c;6ed27132;41e2de53;a3f54d3e;907a64e1;a424ecd;84e6777b;7584164b;5c2d7835;ec6bb42b;f26fdfb8;da44a19f;0
78;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;cae0a1b1;1b1a0eac;10;1;2;215;1300;0;DD907FAA;DD;EF;207f6eb3;10:38:43;0:00:05;349706;bb6e83dc;c3cf38fd;92bd57b8;7e1d2ffa;651d8b4b;d05f6c4a;7d891cf8;8475f1c1;baea577c;30aa5755;c0419f91;71c64c3f;fb9a5d51;b9d08a29;2fb1ff8f;3fa3ce32;ec61298b;24441bf2;21d0c4f5;da44a194;0
79;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;6ae2b285;582b2ea6;10;1;2;215;1300;0;3818B122;14;9D;207f6eb8;10:38:48;0:00:05;349706;44e5109;4644df1d;2ce37aee;862838af;b50030d9;9697554a;406cc9f0;5dffcf07;acc0f4dd;f2824af9;3ea160cf;3f974f3c;66ba55c1;695ec586;da7c87a3;9c38618;7c95dae1;5c25ebbd;5131aa32;da44a191;0
80;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+5bc988b;b889cb5+;10;1;2;215;1300;0;4A27AEBB;0F;47;207f6ebd;10:38:53;0:00:05;349706;4d2d1e7a;c8b9853c;c70a9e1c;8e320850;4e2dc6f;5ccf3e4a;34e76e9;3789ac4e;9e96923e;b45aa01c;bd01220d;d684e39;d1da4e31;18eb00e2;85470fb8;d3e23dff;cc98c37;94067b04;80928f6f;da44a1ae;0
81;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7a252ecc;cce252a7;10;1;2;215;1300;0;DDC7A900;75;D9;207f6ec2;10:38:58;0:00:05;349706;960deba7;4b2d2b5c;6130c151;963d19fa;54c489e2;2307274a;c63023de;11148995;906d2f9e;76328780;3b60e34a;db394932;3cfa46ae;c8793c3f;301297cc;9e02f5e5;9cfd3d8d;cce7cace;aff374ac;da44a1ab;0
82;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e5a2ca07;70ac2a5e;10;1;2;215;1300;0;A5ADD344;09;31;207f6ec7;10:39:03;0:00:05;349706;deecb890;cda2d17f;fb56e487;9e48eaaf;a4a63570;e93f104a;8912d0d7;ea9e66db;8243ccff;380afd24;b9c0a488;a90a4822;a81b3f1e;7807779c;dadd1fe0;6822adcb;2d32eee4;4c05a89;df5459e9;da44a1a1;0
83;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;4f0fe1a2;2a1ef0f4;10;1;2;215;1300;0;987ABF44;52;C8;207f6ecc;10:39:08;0:00:05;349706;27cc85fd;5017779f;957d0835;a652fa50;f489e106;af77f94a;4bf57dcc;c4284422;74196a60;f9e2d34f;381f65c6;76db4b3b;133b378e;2794b2f8;85a8a7f5;324165b2;bd66a03a;3ca12a50;eb43f26;da44a1be;0
84;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;1dbc1496;6941cbd1;10;1;2;215;1300;0;E176A566;28;23;207f6ed1;10:39:13;0:00:05;349706;70ac532e;d28b1dbe;2fa32b6a;ae5dcbfa;446b8e94;75afe24a;ed72ac4;9db32168;65f007c0;bbbd36f3;b67f2704;44ac4a34;7e5b2ffe;d722ee55;30733009;fc611d98;4d9a5190;7483ba1b;3e152463;da44a1bb;0
85;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e22df511;115fd22e;10;1;2;215;1300;0;B747AB44;6D;45;207f6ed6;10:39:18;0:00:05;349706;b98b201b;5500c3de;c9ca4e98;b667d4af;944d3a2a;3be7cb4a;d1b9d7bd;773dfeaf;57c6a521;7d952c16;34dee842;127d45c1;e97b286e;86b029b1;db3eb81d;c680d57f;ddce02e6;ab5c09e5;6d7609a0;da44a1b0;0
86;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;536e6184;4816e635;10;1;2;215;1300;0;D165A1EE;9B;86;207f6edb;10:39:23;0:00:05;349706;26bed44;d77569f9;63f071ce;be72a450;e430e7b8;21fb44a;949b84b2;50c7dbf5;499c4281;3f6d03ba;b33ea980;e04f44b9;549b20de;363d650e;86084032;90a08d65;6e02b43c;e33d99ac;9cd7eedd;da44a1cd;0
87;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7b930621;126039b7;10;1;2;215;1300;0;74A7AFFF;F1;D6;207f6ee1;10:39:29;0:00:06;349706;8d107d17;da67fe26;e9b86920;61b2c524;440c7c52;232f659f;e4debaa8;55d318b0;9f04cc29;2808d8fc;4ae45e31;a41610cc;6ec2e499;6f4e7917;1fc916b0;4ff9d079;e7daef70;597eee34;3c18cebf;da44a1ca;0
88;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f68119e5;5e91186f;10;1;2;215;1300;0;8BF080DD;41;B1;207f6ee6;10:39:34;0:00:05;349706;d5f04a40;5cdca446;83de8c56;69bdd6c9;93ee29e0;e9674e9f;a7c067a1;2f5ef5f7;90da6989;e9e03e60;c9441f6f;71e713cf;d9e2dd09;1edcb473;ca949ec5;1a188860;780fa0c6;915f7dff;6b79b3fc;da44a1c7;0
89;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;++d2ee9f;f9ee2d++;10;1;2;215;1300;0;4EE59D22;50;D9;207f6eeb;10:39:39;0:00:05;349706;1ed017ad;df514a61;1e05af8b;71c7a672;e3d1d576;af9f379f;6aa31496;8e8d33d;82b106ea;abb8158b;47a3e0ad;3fb80d2e;4502d579;ce69efd0;755f26d9;e4384046;843521c;c939cd46;9ada9939;da44a1dc;0
90;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;fa2d711c;c117d2af;10;1;2;215;1300;0;014188FF;BB;6A;207f6ef0;10:39:44;0:00:05;349706;67afe49e;61c5f081;b82bd339;79d2b724;33b38105;75d7209f;2d85c18f;e272b084;7487a44a;6d900b2f;c603a1ea;d8a0c2d;b022cde9;7df72b2c;202aaeed;ae57f82d;98770372;11a5d01;ca3a7e76;da44a1d9;0
91;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;65ba87b7;7b78ab56;10;1;2;215;1300;0;57A59C00;DF;CE;207f6ef5;10:39:49;0:00:05;349706;b08fb1cb;e43a96a0;5251f66f;81dc80c9;83952e9b;3c0f099c;f0676e84;bbfd8dca;665d41ab;2f686152;44626328;db5b0f28;1b42c659;2d856689;caf53702;7877b013;28abb4c8;39fb2cc8;f99b63b3;da44a1d6;0
92;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e22df511;115fd22e;10;1;2;215;1300;0;6D218466;B8;7E;207f6efa;10:39:54;0:00:05;349706;f96e7f34;66af3cc0;ec78199d;89e79072;d377da29;247f29c;b3491b7c;95876b11;5834df0c;f14344f6;c2c22466;a92c0e33;8662bec9;dd12a1e6;75c0bf16;429667f9;b8df661e;71d4bc92;28fc48f0;da44a1d3;0
93;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;40d70f47;74f07d04;10;1;2;215;1300;0;0DCFE144;E6;61;207f6eff;10:39:59;0:00:05;349706;424e4c66;e923e2e0;869e3cd2;91f26124;235a87bf;c87fdb9c;762cc875;6f114858;4a0a7c6c;b31bba19;4122e5a4;76fd0902;f182b726;8ca0dd42;208b472a;cb61fe0;49131774;a9b50c5d;585d2e2d;da44a1e8;0
94;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+e8095f0;0f5908e+;10;1;2;215;1300;0;42A7B0FF;1C;48;207f6f04;10:40:04;0:00:05;349706;8b2d1953;6b988903;20c56000;99fc72c9;733c334d;8eb7c49c;390e756a;489b259e;3be019cd;74f391bd;bf81a6e2;44ce0809;5ca2af96;3c2e189f;cb56cf3f;d6d5d7c6;d948c8ca;e1969c24;87be136a;da44a1e5;0
95;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8fc62af5;5fa26cf8;10;1;2;215;1300;0;9789BCDD;E5;F4;207f6f09;10:40:09;0:00:05;349706;d40de6bc;ee0d2f23;baeb83b6;a2074272;c31ed8c3;54eead9c;fbf02263;222602e5;2db6b72e;36cbf720;3de16820;129f0b34;c7c3a806;ebbc53fb;76205753;a0f58fad;697c7a20;187063ef;b71ff8a7;da44a1e2;0
96;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;87cbd87c;c78dbc78;10;1;2;215;1300;0;E30BC788;6F;55;207f6f0e;10:40:14;0:00:05;349706;1cecb3e9;7081d542;5511a6eb;aa125324;13018451;1b26969c;bed2cf58;fbb0e02b;1f8d548e;f8a3ed44;bc40295e;e0700a26;32e3a076;9b498f58;20ebdf67;6b154793;f9b02b76;5051f3b6;e67fdde4;da44a1ff;0
97;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;268010fb;bf010862;10;1;2;215;1300;0;EC949500;D3;5C;207f6f13;10:40:19;0:00:05;349706;65cc80da;f2f67b62;ef38ca19;b21c5cc9;62e331e4;e15e7f9c;81b57c50;d53abd72;1163f1ef;ba7bc0ef;3aa0ea9c;ae410537;9e0398e6;4ad7cab5;cbb6677b;3534ff79;89e4dccc;88324370;15e0c320;da44a1f4;0
98;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;6ae2b285;582b2ea6;10;1;2;215;1300;0;2F528B77;B1;67;207f6f18;10:40:24;0:00:05;349706;aeab4e07;756b218d;895eed4f;ba272c73;b2c5dd7a;a796689c;44972949;aec59ab8;3398f50;7c532613;b8ffabda;7c120434;9239156;fa650611;7681ef90;ff54b760;1a188e22;c013d33b;4541a85d;da44a1f1;0
99;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;fda24612;21642adf;10;1;2;215;1300;0;1A45A2DD;07;7F;207f6f1d;10:40:29;0:00:05;349706;f78b1b70;f7e0c7ad;238510fd;c2313d24;2a88908;6dce519c;779d63e;884f77ff;f5102cb0;3e2a1db6;375f6d18;49e306c1;744389c6;a9f2416e;214c77a4;c9736f46;aa4d3f79;f8eca282;74a28d9a;da44a00e;0
100;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c8d9a410;014a9d8c;10;1;2;215;1300;0;90E39033;38;86;207f6f22;10:40:34;0:00:05;349706;406ae85d;7a546dcc;bdab3432;ca3c0ec9;528a369e;34063a9c;ca5b8337;61d95545;e6e6ca11;273da;b5bf2e56;17b407ba;df638236;59807cca;cc17ffb8;9393272d;3a81f0cf;30cd324d;a40372d7;da44a00b;0
101;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9b6cd4a5;5a4dc6b9;10;1;2;215;1300;0;722394DD;E5;0E;207f6f27;10:40:39;0:00:05;349706;894ab58e;fcc913ec;57d25760;d2471e73;a26ce22c;fa3e239c;8d3e302c;3b63328c;d8bc6771;c1da697e;341eef93;e58600bb;4a837aa7;90eb827;76e287cd;5db2df13;cab5a225;68af8217;d3645814;da44a000;0
102;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;78d059d6;6d950d87;10;1;2;215;1300;0;25CDD455;8B;2F;207f6f2c;10:40:44;0:00:05;349706;d22982fb;7f3eba0f;f1f87a96;da51ef24;f24e8fa2;c0760c9c;5020dd24;14ee0fd2;ca9304d2;83b24ce1;b27eb0d1;b35701a0;b5a37317;b89bf384;21ad0fe1;27d296f9;5ae9537b;a08811de;2c43d51;da44a01d;0
103;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;4b940f0b;b0f049b4;10;1;2;215;1300;0;FE949500;3C;37;207f6f31;10:40:49;0:00:05;349706;1b095024;1b2602f;8c1e9dcb;e25cf8c9;42313b31;86aef59c;13028a1d;ee78ed19;bc69a233;458aa205;30dd720f;812802bd;20c36b87;68292ee0;cc7897f5;f1f14ee0;eb1d04d1;d769e199;3225228e;da44a01a;0
104;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;381a0f83;38f0a183;10;1;2;215;1300;0;DF618100;32;05;207f6f36;10:40:54;0:00:05;349706;63e81d11;8427064e;2645c179;ea67c873;9213e0c7;4ce6de9c;d5e43712;c802ca60;ae3f3f93;76299a8;af3d334d;4ef903be;8be463f7;17b76a3d;7743200a;bc1106c6;7b51b627;f4a7160;618607cb;da44a017;0
105;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;401461fc;cf164104;10;1;2;215;1300;0;3349855;C0;43;207f6f3b;10:40:59;0:00:05;349706;acc8ea42;69cac6e;c06be4af;f271d924;e1f58c55;131ec79c;98c6e40b;a18da7a6;a016dcf4;c93affcc;2d9df48b;1ccafcbf;f7045c67;c745a599;220ea81e;8630bead;b86677d;472bc12b;90e7ed08;da44a02c;0
106;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d5bda075;570adb5d;10;1;2;215;1300;0;DADAC077;99;0B;207f6f40;10:41:04;0:00:05;349706;f5a8b7af;89105289;5a9207dd;fa7caac9;31d839eb;d956b09c;5ba99103;7b1784ed;91ec7a55;8b12d577;abfcb5c9;ea9bfdbc;622454d7;76d2e0f6;ccd93032;50507693;9bba18d3;7f0450f5;c048d245;da44a029;0
107;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2a2c6832;2386c2a2;10;1;2;215;1300;0;B78DD6BB;6E;97;207f6f45;10:41:09;0:00:05;349706;3e878498;b85f8a9;f4b82b12;286ba73;81bae579;9f8e999c;1e8b3df8;54a16233;83c217b5;4cedc89b;2a5c7707;b86cfeb9;cd444d47;26601c53;77a4b847;1a6f2e79;2beeca29;b7e520bc;efa9b782;da44a026;0
108;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;bf32fa60;06af23fb;10;1;2;215;1300;0;6E5EDC99;07;20;207f6f4a;10:41:14;0:00:05;349706;876751c5;8dfa9ec8;8ede4e40;a918b24;d19c910f;65c6829d;e16deaf1;2e2b3f7a;7599b516;ec52e3e;a8bb3845;863dffa2;386445b4;d5ee57af;226f405b;e48fe660;bc227b7f;efc7b007;1f0a9cbf;da44a023;0
109;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;36853a8d;d8a35863;10;1;2;215;1300;0;D4A7AC77;F4;2E;207f6f4f;10:41:19;0:00:05;349706;d0461f36;106e44e8;290571f6;129c94c9;217e3e9d;2bfe6b9d;a44f97e6;7b61cc0;676f5276;d09d05a2;271bf983;540ef8b2;a3843e24;857b930c;cd3ac86f;aeaf9e46;4c562cd5;27a007ce;4e6a81fb;da44a039;0
110;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;15a1c21d;d12c1a51;10;1;2;215;1300;0;731CCB00;B4;F9;207f6f54;10:41:24;0:00:05;349706;1926ec63;92e3eb0b;c32b952b;1aa66473;7161ea10;f236549d;673244df;e140fa07;5945efd7;92757bc5;a57bbac1;21dff9bb;ea43694;3509ce68;78055084;78ce562d;dc8ade2b;5f819789;7dcb6738;da44a036;0
111;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;3fcd645b;b546dcf3;10;1;2;215;1300;0;51859F77;D2;A1;207f6f59;10:41:29;0:00:05;349706;6205b94c;1558912b;5d52b859;22b17524;c14397a6;b86e3d9d;2a14f1d7;bacad74d;4b1c8d38;544d5169;23da7bff;efb0fa44;79c42f04;e49709c5;22d0d898;42ee0e13;6cbf8f81;96626753;ad2c4c75;da44a033;0
